Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"149,721.3 ns",233.32 ns,218.24 ns,"6,687",15.00,0.75,Faster,0.00,1,12297.28 uj,82231898.13 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"200,819.2 ns",418.00 ns,391.00 ns,"4,992",15.00,1.00,Baseline,0.00,2,16600.52 uj,82869811.40 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"211,825.8 ns",515.64 ns,482.33 ns,"4,716",15.00,1.05,Slower,0.00,3,17548.70 uj,82759692.27 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"238,117.7 ns",237.00 ns,221.69 ns,"4,208",15.00,1.19,Slower,0.00,4,19995.48 uj,84140995.53 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"286,182.7 ns",212.34 ns,198.62 ns,"3,552",15.00,1.43,Slower,0.00,5,23519.63 uj,83541717.40 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"40,141.0 ns",75.29 ns,70.43 ns,"24,907",15.00,0.76,Faster,0.00,1,3290.76 uj,81962864.07 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,878.2 ns",90.96 ns,85.08 ns,"18,928",15.00,1.00,Baseline,0.00,2,4442.87 uj,84094690.40 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,698.9 ns",64.70 ns,60.52 ns,"17,937",15.00,1.05,Slower,0.00,3,4511.95 uj,80930847.53 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"63,172.5 ns",83.41 ns,78.02 ns,"15,824",15.00,1.19,Slower,0.00,4,5259.79 uj,83230841.60 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-8,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"68,641.1 ns",133.98 ns,125.33 ns,"14,656",15.00,1.30,Slower,0.00,5,5807.75 uj,85118312.07 uj
