Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"153,411.6 ns",323.11 ns,302.24 ns,"6,518",15.00,0.76,Faster,1,12577.07 uj,81977313.07 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"200,686.4 ns",461.40 ns,431.59 ns,"4,992",15.00,1.00,Baseline,2,16641.64 uj,83075088.47 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"214,699.6 ns","1,332.27 ns","1,246.21 ns","4,691",15.00,1.07,Slower,3,17857.55 uj,83769772.73 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"243,328.0 ns",207.79 ns,194.37 ns,"4,128",15.00,1.21,Slower,4,20479.70 uj,84540217.33 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"285,718.6 ns",385.25 ns,360.36 ns,"3,536",15.00,1.42,Slower,5,23703.15 uj,83814344.53 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"40,148.3 ns",38.60 ns,36.10 ns,"24,940",15.00,0.76,Faster,1,3320.06 uj,82802270.07 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,721.3 ns",77.23 ns,72.24 ns,"18,976",15.00,1.00,Baseline,2,4447.28 uj,84391666.27 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,449.1 ns",63.16 ns,59.08 ns,"18,069",15.00,1.05,Slower,3,4510.44 uj,81499172.80 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"61,375.4 ns",56.05 ns,52.42 ns,"16,256",15.00,1.16,Slower,4,5147.73 uj,83681463.07 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"65,751.9 ns",111.95 ns,104.72 ns,"15,200",15.00,1.25,Slower,5,5571.62 uj,84688654.53 uj
SpanJson_Deserialize_Small,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,159.2 ns",1.84 ns,1.72 ns,"861,664",15.00,0.58,Faster,1,98.84 uj,85169882.80 uj
STJ_Deserialize_Small,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,986.7 ns",3.82 ns,3.58 ns,"502,832",15.00,1.00,Baseline,2,178.26 uj,89634629.73 uj
Utf8Json_Deserialize_Small,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,004.0 ns",3.33 ns,3.12 ns,"497,072",15.00,1.01,Same,2,171.15 uj,85075001.93 uj
Jil_Deserialize_Small,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"2,262.3 ns",4.49 ns,4.20 ns,"442,645",15.00,1.14,Slower,3,193.16 uj,85499195.20 uj
Newtonsoft_Deserialize_Small,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"3,551.5 ns",3.04 ns,2.84 ns,"281,200",15.00,1.79,Slower,4,309.10 uj,86919455.13 uj
SpanJson_Serialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"166,687.5 ns",697.83 ns,652.75 ns,"6,047",15.00,0.89,Faster,1,12261.23 uj,74143649.60 uj
STJ_Serialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"188,225.6 ns",465.13 ns,435.08 ns,"5,344",15.00,1.00,Baseline,2,17464.91 uj,93332496.27 uj
Jil_Serialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"284,835.6 ns",264.03 ns,246.98 ns,"3,507",15.00,1.51,Slower,3,24534.88 uj,86043818.60 uj
Utf8Json_Serialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"287,630.6 ns","1,245.18 ns","1,164.74 ns","3,504",15.00,1.53,Slower,3,27712.15 uj,97103356.47 uj
Newtonsoft_Serialize_Large,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"303,445.5 ns",472.93 ns,442.37 ns,"3,296",15.00,1.61,Slower,4,25318.01 uj,83448166.93 uj
Jil_Serialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"37,344.2 ns",65.93 ns,61.67 ns,"26,901",15.00,0.83,Faster,1,3220.78 uj,86642112.20 uj
SpanJson_Serialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"39,016.9 ns",73.16 ns,68.43 ns,"25,616",15.00,0.86,Faster,2,2514.46 uj,64410508.07 uj
STJ_Serialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"45,109.3 ns",159.17 ns,148.89 ns,"22,192",15.00,1.00,Baseline,3,3936.34 uj,87355179.93 uj
Newtonsoft_Serialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"54,268.9 ns",152.36 ns,142.52 ns,"18,528",15.00,1.20,Slower,4,4622.06 uj,85637508.53 uj
Utf8Json_Serialize_Medium,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"56,907.6 ns",625.16 ns,584.78 ns,"16,928",15.00,1.26,Slower,5,4567.63 uj,77320765.60 uj
Utf8Json_Serialize_Small,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,867.8 ns,1.02 ns,0.96 ns,"1,139,296",15.00,0.67,Faster,1,74.90 uj,85337574.40 uj
SpanJson_Serialize_Small,Overhead-Fixed-Energy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"1,221.5 ns",2.55 ns,2.38 ns,"816,000",15.00,0.94,Faster,2,79.19 uj,64615622.40 uj
