Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank
SpanJson_Deserialize_Large,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"149,902.2 ns",92.68 ns,86.69 ns,"6,675",15.00,0.75,Faster,0.00,1
STJ_Deserialize_Large,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"200,551.0 ns",460.71 ns,430.95 ns,"4,992",15.00,1.00,Baseline,0.00,2
Jil_Deserialize_Large,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"214,622.2 ns",213.45 ns,199.66 ns,"4,659",15.00,1.07,Slower,0.00,3
Newtonsoft_Deserialize_Large,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"240,902.2 ns",236.70 ns,221.41 ns,"4,160",15.00,1.20,Slower,0.00,4
Utf8Json_Deserialize_Large,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"281,339.4 ns","1,229.50 ns","1,150.07 ns","3,504",15.00,1.40,Slower,0.01,5
SpanJson_Deserialize_Medium,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"38,429.1 ns",72.72 ns,68.02 ns,"26,080",15.00,0.72,Faster,0.00,1
STJ_Deserialize_Medium,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"53,081.0 ns",102.39 ns,95.78 ns,"18,848",15.00,1.00,Baseline,0.00,2
Jil_Deserialize_Medium,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,349.2 ns",57.88 ns,54.14 ns,"18,073",15.00,1.04,Slower,0.00,3
Utf8Json_Deserialize_Medium,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"62,481.3 ns",113.75 ns,106.40 ns,"16,032",15.00,1.18,Slower,0.00,4
Newtonsoft_Deserialize_Medium,Overhead-Fixed-NoEnergy-10,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"67,210.0 ns",93.46 ns,87.42 ns,"14,864",15.00,1.27,Slower,0.00,5
