Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"150,113.6 ns",189.94 ns,177.67 ns,"6,661",15.00,0.75,Faster,0.00,1,12303.89 uj,81956198.87 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"201,225.8 ns",433.86 ns,405.83 ns,"4,976",15.00,1.00,Baseline,0.00,2,16543.34 uj,82319654.20 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"214,082.6 ns",408.03 ns,381.67 ns,"4,683",15.00,1.06,Slower,0.00,3,17753.37 uj,83139024.60 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"237,478.9 ns",214.88 ns,201.00 ns,"4,224",15.00,1.18,Slower,0.00,4,19968.48 uj,84346866.47 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"278,677.5 ns",180.11 ns,168.47 ns,"3,568",15.00,1.38,Slower,0.00,5,23255.66 uj,82976211.80 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"42,202.1 ns",82.50 ns,77.17 ns,"23,740",15.00,0.80,Faster,0.00,1,3471.05 uj,82402795.93 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,890.8 ns",64.33 ns,60.17 ns,"18,896",15.00,1.00,Baseline,0.00,2,4452.43 uj,84133049.00 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,648.2 ns",96.57 ns,90.33 ns,"18,021",15.00,1.05,Slower,0.00,3,4514.32 uj,81352558.80 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"61,547.2 ns",99.90 ns,93.45 ns,"16,272",15.00,1.16,Slower,0.00,4,5160.44 uj,83970602.00 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-7,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"68,563.6 ns",159.61 ns,149.30 ns,"14,640",15.00,1.30,Slower,0.00,5,5837.61 uj,85462541.67 uj
