Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"152,406.1 ns",115.76 ns,108.28 ns,"6,564",15.00,0.75,Faster,0.00,1,12444.46 uj,81685468.00 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"202,061.4 ns",437.36 ns,409.11 ns,"4,960",15.00,1.00,Baseline,0.00,2,16683.02 uj,82747757.93 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"214,087.1 ns",290.12 ns,271.38 ns,"4,695",15.00,1.06,Slower,0.00,3,17747.58 uj,83324908.67 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"239,270.1 ns","1,117.73 ns","1,045.52 ns","4,176",15.00,1.18,Slower,0.01,4,20219.62 uj,84437145.47 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"279,977.8 ns",258.11 ns,241.43 ns,"3,616",15.00,1.39,Slower,0.00,5,22810.96 uj,82484424.33 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"40,007.8 ns",118.32 ns,110.68 ns,"24,984",15.00,0.76,Faster,0.00,1,3298.23 uj,82403003.73 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,881.1 ns",94.06 ns,87.99 ns,"18,912",15.00,1.00,Baseline,0.00,2,4464.03 uj,84423656.73 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,709.5 ns",83.79 ns,78.37 ns,"17,979",15.00,1.05,Slower,0.00,3,4530.41 uj,81452310.13 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"62,595.3 ns",73.61 ns,68.85 ns,"16,080",15.00,1.18,Slower,0.00,4,5245.47 uj,84347220.60 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-1,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"68,683.4 ns",153.34 ns,143.44 ns,"14,608",15.00,1.30,Slower,0.00,5,5799.03 uj,84712283.07 uj
