Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"151,298.3 ns",246.05 ns,230.16 ns,"6,628",15.00,0.75,Faster,0.00,1,12386.63 uj,82098585.40 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"202,340.3 ns",546.46 ns,511.16 ns,"4,960",15.00,1.00,Baseline,0.00,2,16719.02 uj,82926362.40 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"213,737.9 ns",249.19 ns,233.09 ns,"4,698",15.00,1.06,Slower,0.00,3,17763.13 uj,83451190.27 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"238,786.3 ns",289.94 ns,271.21 ns,"4,208",15.00,1.18,Slower,0.00,4,20235.88 uj,85152569.47 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"279,798.6 ns",411.00 ns,384.45 ns,"3,600",15.00,1.38,Slower,0.00,5,22864.04 uj,82310543.60 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"42,496.8 ns",28.38 ns,26.55 ns,"23,586",15.00,0.80,Faster,0.00,1,3488.06 uj,82269393.67 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,947.6 ns",80.51 ns,75.30 ns,"18,880",15.00,1.00,Baseline,0.00,2,4447.02 uj,83959819.27 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,039.3 ns",101.78 ns,95.21 ns,"18,089",15.00,1.04,Slower,0.00,3,4427.79 uj,80094379.07 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"61,892.0 ns",102.12 ns,95.52 ns,"16,224",15.00,1.17,Slower,0.00,4,5198.65 uj,84342887.20 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-6,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"67,852.2 ns",219.25 ns,205.09 ns,"14,848",15.00,1.28,Slower,0.00,5,5772.31 uj,85707267.73 uj
