Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"151,375.5 ns",311.65 ns,291.52 ns,"6,621",15.00,0.74,Faster,0.00,1,12366.34 uj,81877536.93 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"203,375.0 ns",406.79 ns,380.52 ns,"4,928",15.00,1.00,Baseline,0.00,2,16843.65 uj,83005488.13 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"211,611.5 ns",377.61 ns,353.22 ns,"4,738",15.00,1.04,Slower,0.00,3,17527.22 uj,83043989.07 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"234,183.3 ns",504.52 ns,471.93 ns,"4,272",15.00,1.15,Slower,0.00,4,19750.53 uj,84374246.87 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"281,058.1 ns",197.09 ns,184.36 ns,"3,520",15.00,1.38,Slower,0.00,5,23101.89 uj,81318663.93 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"41,278.7 ns",53.28 ns,49.84 ns,"24,276",15.00,0.78,Faster,0.00,1,3382.86 uj,82122327.93 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,880.4 ns",76.89 ns,71.92 ns,"18,912",15.00,1.00,Baseline,0.00,2,4445.19 uj,84067346.67 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,621.4 ns",47.92 ns,44.82 ns,"17,984",15.00,1.05,Slower,0.00,3,4487.90 uj,80710356.47 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"61,684.2 ns",116.77 ns,109.23 ns,"16,320",15.00,1.17,Slower,0.00,4,5167.53 uj,84334114.40 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-9,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"66,921.3 ns",217.30 ns,203.26 ns,"15,008",15.00,1.27,Slower,0.00,5,5666.90 uj,85048838.33 uj
