Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Operations,Iterations,Ratio,MannWhitney(3%),RatioSD,Rank,Package Energy (uJ/op),Package Energy (uJ/iter)
SpanJson_Deserialize_Large,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"150,867.9 ns",329.23 ns,307.96 ns,"6,632",15.00,0.74,Faster,0.00,1,12371.70 uj,82049134.87 uj
STJ_Deserialize_Large,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"203,045.7 ns",515.49 ns,482.19 ns,"4,928",15.00,1.00,Baseline,0.00,2,16609.34 uj,81850824.07 uj
Jil_Deserialize_Large,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"211,590.9 ns",317.74 ns,297.21 ns,"4,726",15.00,1.04,Slower,0.00,3,17537.69 uj,82883100.73 uj
Newtonsoft_Deserialize_Large,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"238,680.6 ns",544.34 ns,509.18 ns,"4,208",15.00,1.18,Slower,0.00,4,20109.96 uj,84622724.47 uj
Utf8Json_Deserialize_Large,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"279,552.2 ns",327.68 ns,306.51 ns,"3,616",15.00,1.38,Slower,0.00,5,22959.91 uj,83023021.47 uj
SpanJson_Deserialize_Medium,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"40,181.0 ns",163.10 ns,152.56 ns,"24,934",15.00,0.76,Faster,0.00,1,3284.48 uj,81895318.60 uj
STJ_Deserialize_Medium,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"52,667.4 ns",103.23 ns,96.56 ns,"18,976",15.00,1.00,Baseline,0.00,2,4455.30 uj,84543720.60 uj
Jil_Deserialize_Medium,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"55,492.5 ns",73.24 ns,68.51 ns,"18,093",15.00,1.05,Slower,0.00,3,4490.55 uj,81247598.87 uj
Utf8Json_Deserialize_Medium,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"62,739.5 ns",95.22 ns,89.07 ns,"15,952",15.00,1.19,Slower,0.00,4,5232.27 uj,83465215.93 uj
Newtonsoft_Deserialize_Medium,Overhead-Fixed-Energy-2,False,Default,Default,Default,Default,Default,DontRemove,1111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,15,1s,1,Default,Default,Default,Default,Default,Default,16,6,"68,276.6 ns",196.84 ns,184.13 ns,"14,672",15.00,1.30,Slower,0.00,5,5770.40 uj,84663320.80 uj
